title,description,cuisine,course,prep,cook,serves,taste,difficulty,diet_tags,ingredients,method,adaptations,source
"Miso Chilli Roasted Tofu, Broccoli & Cashews (No Onion/Garlic)","Easy sheet-pan dinner: tofu, broccoli and cashews roasted in an umami-rich sesame, ginger and miso marinade. Adapted egg-free vegan style without onion or garlic; hing stands in for allium depth. Serve over noodles, steamed vegetables or a crunchy cabbage salad.",Fusion,Main Course,15 minutes,25-30 minutes,4,Umami & Spicy,Easy,vegan; vegetarian; egg-free,"400 g firm tofu, pressed and cubed | 1 large head broccoli, cut into florets | 75 g raw cashews | 2 tablespoons white or chickpea miso paste | 2 tablespoons tamari or soy sauce | 1 tablespoon toasted sesame oil | 1 tablespoon neutral oil | 1 tablespoon maple syrup | 1 tablespoon rice vinegar | 1 tablespoon grated fresh ginger | 1-2 teaspoons chilli flakes or chilli paste, to taste | 1 pinch hing (asafoetida) | 1 tablespoon sesame seeds (optional) | Fresh mint or coriander leaves, to finish (optional)","1. Heat the oven to 200°C / 400°F. Line a large baking tray. | 2. Warm the neutral oil briefly, bloom the hing in it for a few seconds, then whisk with miso, tamari, sesame oil, maple syrup, rice vinegar, ginger and chilli until smooth. | 3. Toss the tofu cubes in half the marinade and spread on the tray. | 4. Toss broccoli and cashews with the remaining marinade and arrange around the tofu in a single layer. | 5. Roast 25-30 minutes, turning once, until the tofu is golden at the edges and the broccoli is tender with charred tips. | 6. Scatter sesame seeds and herbs if using, and serve hot.",Reconstructed from Botanical Kitchen public recipe description (member-only full amounts were not publicly readable). Kept vegan and egg-free; no onion or garlic; hing (asafoetida) added for allium-free savoury depth.,https://www.botanicalkitchen.com/recipes/miso-chill-roasted-tofu-broccoli-cashews/
Roasted Pumpkin Soup,"Red pumpkin is a very healthy vegetable being rich in vitamins, minerals and antioxidants. And all these nutrients are so good for growing children as also adults",Fusion  Course:,Soups,10-15 minutes,1-1.30 hour,4,Mild,Moderate,vegetarian; egg-free; lacto-vegetarian,"1 pinch hing (asafoetida) | 0 hour Serve | 0 grams red pumpkin, seeded and cut into thick slices | 8 black peppercorns 2- | 3 star anise | 2 inches leek, chopped | 2 inches cinnamon | 2 teaspoons smoked paprika | 2 teaspoons brown sugar | 1 tablespoon balsamic vinegar 4- | 5 sprigs fresh thyme 2- | 3 sprigs fresh rosemary 2- | 3 brown bread slices | 3 cups vegetable stock | 1 tablespoon fresh cream Pumpkin seeds to garnish","1. Preheat oven to 160º C. | 2. Warm a pinch of hing in a little hot oil before adding the main ingredients. | 3. Grease a baking tray with 2 tbsps of olive oil, spread the pumpkin slices on it, add sea salt, black peppercorns, star anise, leeks, and cinnamon. | 4. Sprinkle smoked paprika on top, add brown sugar, balsamic vinegar, thyme and rosemary. | 5. Place the tray in the preheated oven and bake for 1 hour. | 6. Trim the edges of the brown bread slices and cut into small cubes. | 7. Spread the bread cubes on another baking tray, drizzle remaining olive oil, toss well and place the tray in the preheated oven and toast for 10 minutes. | 8. Insert a toothpick through the pumpkin slices to check if they are done. | 9. Remove the tray from the oven, peel the pumpkin and chop roughly. | 10. Transfer the roasted pumpkin into a mixer jar, add 1 cup vegetable stock and blend into a smooth puree. | 11. Heat a deep non-stick pan, add the pumpkin puree, remaining stock and mix well. | 12. Bring the mixture to a boil. | 13. Add fresh cream and mix well and remove the pan from heat. | 14. Pour the soup into a jug and then gently into a thermos flask. | 15. Garnish with some pumpkin seeds and cover the flask. | 16. Pack the baked croutons in an airtight container to serve with soup.",Removed onion/garlic (and related alliums). Added hing (asafoetida). Egg-free.,vegetarian-recipes.txt
Sabudana Papad,"A crispy and light Indian snack made from tapioca pearls (sabudana), seasoned with spices, and sun-dried to perfection.",Indian  Course:,Snacks and Starters,2-3days,16-20 minutes,4,Mild,Easy,vegan; vegetarian; egg-free,1 teaspoon cumin seeds Oil to deep fry,"1. Transfer the sago in bowl and wash it thoroughly. | 2. Add 1 cup water and soak for 6-8 hours. | 3. Transfer in a nonstick pan and add salt, cumin seeds and 5 cups water. | 4. Cook on medium heat till sago mixture is transparent and the sago is cooked. | 5. Spread spoonful of mixture on a plastic sheet and spread lightly. | 6. Sundry for 2 days. | 7. Heat sufficient oil in a kadai and deep fry the papads till crisp. | 8. Drain on absorbent paper and serve.",Egg-free.,vegetarian-recipes.txt
Sabudana Vada,"Crispy, crunchy and 'oh so good' - Sabudana Vadas are an all-time favourite snack for everyone.","Indian,Maharashtrian  Course:",Snacks and Starters,6-7 hour,11-15 minutes,4,Mild,Moderate,vegetarian; egg-free; lacto-vegetarian,"1½ sago (sabudana), soaked Chutney ½ cup scrapped fresh coconut ½ cup fresh coriander leaves | 1 green chilli ½ teaspoon cumin seeds | 3 medium potatoes, boiled, peeled and mashed | 1 teaspoon cumin seeds ¾ cup roasted and crushed peanuts ½ lemon Oil for greasing + for deep frying","1. To make the chutney, put coconut in a mixer jar, add coriander leaves, green chilli, cumin seeds, roasted peanuts, salt and ¼ cup water and grind to a fine paste. | 2. To make sweetened yogurt, take yogurt in a bowl. | 3. Add powdered sugar and salt and mix well. | 4. To make the vada mixture, take soaked sago in a large plate. | 5. Add potatoes, ginger-green chilli paste, salt, cumin seeds, peanuts and squeeze the juice of lemon and mix till well combined. | 6. Grease your palms with oil, take a portion of the vada mixture, shape it into a ball and slightly flatten it to shape like a vada. | 7. Heat sufficient oil in a kadai. | 8. Gently slide in the vades into the hot oil and deep fry till golden brown and crisp. | 9. Drain on an absorbent paper. | 10. Serve hot with prepared chutney and sweetened yogurt.",Egg-free.,vegetarian-recipes.txt
Saeb Makhane ki Kheer,Makhana sautéed in ghee enhances the taste and falvour of this kheer,Indian  Course:,Mithais,6-10 minutes,31-40 minutes,Taste Sweet,Sweet,Easy,vegetarian; egg-free; lacto-vegetarian,"2 medium Medium apples (saeb), grated | 1 cup Lotus seeds (makhana) 1/ | 4 cup Ghee 1/ | 4 cup Jaggery, grated 1/ | 4 teaspoon Green cardamom powder 1/ | 4 cup Mixed nuts, chopped | 0 millilitres Milk | 1 cup Khotya (mawa), grated to garnish Apple fans","1. Heat ghee in a non-stick pan, add makhana and sauté till crisp. | 2. Drain and transfer into a bowl and set aside to cool. | 3. Add apples to the ghee remaining in the pan and sauté for 7-8 minutes. | 4. Transfer makhana into a grinder jar and grind to a fine powder. | 5. Add jaggery to the apples and mix till it melts. | 6. Add green cardamom powder and mix well. | 7. Transfer the mixture into another bowl. | 8. Add nuts to the same pan and roast till lightly browned. | 9. Add milk and bring to a boil. | 10. Add makhana powder, mix well and cook till the mixture thickens. | 11. Add khoya and mix till it melts. | 12. Switch off heat, add prepared apple mixture and mix till well combined. | 13. Transfer into a serving bowl, garnish with apple fans and serve hot.",Egg-free.,vegetarian-recipes.txt
Sambousek,"A delightful Middle Eastern pastry filled with with spicy chenna and spinach mixture, inviting you to savor its crispy exterior and flavorful fillings in every bite.",Middle Eastern,Snacks and Starters,21-25 minutes,21-25 minutes,4,Mild,Moderate,vegetarian; egg-free; lacto-vegetarian,1 pinch hing (asafoetida) | 0 grams readymade whole wheat flour (atta) dough | 1 teaspoon carom seeds (ajwain) | 1 tablespoon finely chopped ginger | 1 cup grated cottage cheese (chhena) | 1 teaspoon garam masala powder ¼ teaspoon turmeric powder,"1. Take carom seeds, ginger, cottage cheese, black salt, dried mango powder, garam masala powder, turmeric powder and spinach in a bowl and mix well. | 2. Warm a pinch of hing in a little hot oil before adding the main ingredients. | 3. Add salt and mix well. | 4. Divide the dough into equal portions and roll each portion into a disc. | 5. Spread a spoonful of cottage cheese-spinach mixture on each disc and roll into a cylinder. | 6. Roll into a spiral, dust some flour and roll out into medium size discs. | 7. Heat a non-stick tawa. | 8. Place the discs on it, one at a time, and cook, basting with oil and turning sides, till evenly browned on both sides. | 9. Cut each disc into 4 pieces, arrange them on a serving platter and serve with your choice of pickle.",Removed onion/garlic (and related alliums). Added hing (asafoetida). Egg-free.,vegetarian-recipes.txt
Samosa Patti,Samosa patti are broad strips made of wheat or refined flour which serve as an outer covering for the stuffing of samosas,Indian  Course:,Snacks and Starters,31-40 minutes,6-10 minutes,4,Mild,Moderate,vegan; vegetarian; egg-free,1 cup refined flour (maida) + for dusting,"1. Heat oil in a small pan. | 2. Take refined flour in a large bowl. | 3. Add salt and the hot oil and mix till the mixture comes together. | 4. Add ¼ cup water little by little and knead till a soft dough is formed. | 5. Cover with a damp muslin cloth and set aside to rest for 30 minutes. | 6. Divide the dough into 6 equal portions. | 7. Shape each portion into a ball. | 8. Place a dough ball on a worktop and dust with some refined flour. | 9. Roll into a small disc. | 10. Apply some oil and generously dust some refined flour over it. | 11. Place this on a plate. | 12. Dust the worktop with some refined flour again and place another dough ball on it. | 13. Roll it into a small disc. | 14. Repeat this process one more time with another dough ball. | 15. Place the first disc over the second one with the flour side facing each other. | 16. Similarly, place the third disc with the flour side facing down over the sandwiched discs. | 17. Dust some flour on top and roll it into a large thin disc. | 18. Heat a non-stick tawa. | 19. Place the rolled out discs and cook on low heat for a few minutes while rotating the tawa to ensure the discs are uniformly semi-cooked. | 20. Flip and cook the other side for a few minutes as well. | 21. Carefully separate the layers and place a worktop. | 22. Trim the sides and cut into 24cm x 8cm sized thick strips. | 23. Carefully place them in a zip lock bag and keep them in the freezer. | 24. Use as required.",Egg-free.,vegetarian-recipes.txt
Sangam Vada,"The popular vada pav made differently – potato mixture sandwiched in pavs, dipped in batter and deep-fried",Maharashtrian  Course:,Snacks and Starters,26-30 minutes,16-20 minutes,4,Spicy,Moderate,vegan; vegetarian; egg-free,"3 medium potatoes, boiled, peeled and mashed | 4 pavs | 3 green chillies, stemmed and broken | 2 tbsps oil + to deep fry | 1 pinch hing (asafoetida) | 8 curry leaves, shredded | 2 tbsps chopped fresh coriander leaves + to sprinkle 1¼ cups gram flour ¼ cup rice flour","1. Transfer green chillies, and ginger in a mixer jar and grind coarsely without adding any water. | 2. Heat oil in a non-stick pan, then add a pinch of hing. | 3. Add curry leaves and sauté for a few seconds. | 4. Add the prepared paste and sauté for 2 minutes on medium heat. | 5. Add ½ tsp turmeric powder, salt and mix well. | 6. Cook for 30 seconds. | 7. Add the boiled potatoes and mix well. | 8. Sprinkle 2 tbsps water and cook for 2-3 minutes or till the mixture is heated thoroughly. | 9. Add coriander leaves and mix well. | 10. Transfer in a bowl and set aside to cool down. | 11. For the batter, take gram flour in a bowl. | 12. Add rice flour, red chilli powder, remaining turmeric powder, salt, baking soda and mix well. | 13. Add 1¼ cups water and mix well to form a smooth batter. | 14. Slit the pavs without cutting through. | 15. Apply a generous portion of the potato mixture on lower half and close it. | 16. Heat sufficient oil in a kadai. | 17. Dip the pav pieces in the gram flour batter and slide into the hot oil. | 18. Deep fry till golden brown and crisp. | 19. Drain on absorbent paper. | 20. Cut the fried pav sandwich into 4 pieces and transfer on a serving plate. | 21. Drizzle date and tamarind chutney and green chutney on top. | 22. Sprinkle sev and coriander leaves. | 23. Serve immediately.",Removed onion/garlic (and related alliums). Added hing (asafoetida). Egg-free.,vegetarian-recipes.txt
Sattu Baingan Masala,"Brinjals stuffed with spicy sattu mixture, tossed with Indian spices and cooked to perfection.",Indian  Course:,Main,11-15 minutes,21-25 minutes,4,Spicy,Moderate,vegan; vegetarian; egg-free,"1 1/ | 2 cups sattu | 8 medium brinjals | 1 teaspoon turmeric powder | 2 green chillies, finely chopped | 1 tablespoon ginger, finely chopped | 3 teaspoons red chilli powder 1/ | 2 teaspoon asafoetida | 2 teaspoons fennel (saunf) powder | 2 1/ | 2 teaspoons dried mango powder (amchur) | 2 teaspoons coriander powder | 3 teaspoons mustard oil Fresh coriander sprigs to garnish","1. Take sufficient water in a bowl, add ½ tsp turmeric powder and mix well. | 2. Slit brinjals without cutting through and immerse in turmeric water. | 3. To prepare the stuffing, take sattu in another bowl, add green chillies, ginger, 2 tsps red chilli powder, remaining turmeric powder, ¼ tsp asafoetida, fennel powder, 1½ tsps dried mango powder, coriander powder, cumin seeds, salt and 6 tsps mustard oil and mix well. | 4. Heat 5 tsps mustard oil in a stainless steel pan till it begins to smoke. | 5. Stuff the brinjals with the sattu mixture, place them in the hot pan, cover and shallow fry on low heat, stirring occasionally, till golden brown on all sides. | 6. Heat another non-stick pan, add remaining mixture of sattu and dry roast till colour darkens. | 7. Spread this on a serving plate. | 8. Heat remaining mustard oil in the same pan, add remaining asafoetida, brinjals, remaining red chilli powder, remaining dried mango powder and mix lightly. | 9. Cook for 1-2 minutes. | 10. Place the brinjals over the sattu mixture spread on the serving plate. | 11. Garnish with coriander sprigs and serve hot.",Removed onion/garlic (and related alliums). Egg-free.,vegetarian-recipes.txt
Sattu Pancakes,"Enjoy a hearty breakfast with sattu pancakes, combining the wholesome goodness of sattu and whole wheat flour for a delightful morning treat.",Fusion  Course:,Snacks and Starters,11-15 minutes,31-40 minutes,4,Sweet,Easy,vegetarian; egg-free; lacto-vegetarian,1 cup sattu ½ cup yogurt ½ teaspoon baking soda | 4 tablespoons butter + as required ½ cup jaggery powder ½ cup whole wheat flour | 1 teaspoon baking powder A pinch of salt ¼ teaspoon green cardamom powder ½ teaspoon vanilla essence | 1 cup milk Banana slices as required Chopped almonds as required Chopped pistachios as required Maple syrup to serve,"1. Take yogurt in a bowl. | 2. Add baking soda and mix well. | 3. Set aside. | 4. Heat butter in a deep nonstick pan. | 5. Add jaggery powder and cook till butter melts. | 6. Allow to cool slightly. | 7. Sift sattu, whole wheat flour, baking powder and salt in a bowl. | 8. Make a well in the centre, add yogurt mixture, butter -jaggery mixture, green cardamom powder, vanilla essence, milk and whisk well. | 9. Heat a nonstick tawa. | 10. Grease with some butter, spread a ladleful of batter. | 11. Cover and cook on medium heat for 2-3 minutes. | 12. Flip and cook on other side for 2 minutes. | 13. Pile up the pancakes on serving plate. | 14. Arrange banana slices on top. | 15. Sprinkle almonds, pistachios on top. | 16. Place some butter cubes in the centre. | 17. Serve with maple syrup.",Egg-free.,vegetarian-recipes.txt
Shakkarkand Tuk Tuk,Tuk is a popular Sindhi side dish that is generally served with Sindhi kadhi and chawal. Here sweet potatoes replace the usual potatoes,Sindhi  Course:,Snacks and Starters,21-25 minutes,11-15 minutes,4,Tangy,Easy,vegan; vegetarian; egg-free,1 teaspoon red chili powder | 2 teaspoons coriander powder ½ teaspoon dried mango (amchur) powder | 1 tablespoon chopped fresh coriander leaves Tomato ketchup to serve Green chutney to serve,"1. Heat sufficient oil in a deep pan. | 2. Cut the sweet potato into thick slices. | 3. Flatten the slices between your palms by pressing a little and deep-fry in hot oil till golden brown and crisp. | 4. Drain on absorbent paper. | 5. To prepare the spice mix, mix together salt, red chilli powder, coriander powder, amchur powder and coriander leaves in a bowl. | 6. While tuk is still hot, sprinkle spice mix over them and toss well. | 7. Insert a toothpick in each tuk and arrange them on a serving plate. | 8. Serve hot with tomato ketchup and green chutney.",Egg-free.,vegetarian-recipes.txt
Shakkarkandi Matar Masala,Super food sweet potatoes mixed with green peas and some masalas to make a tasty dish. Serve this with choice of your bread.,Indian  Course:,Main,6-10 minutes,21-25 minutes,4,Spicy,Easy,vegan; vegetarian; egg-free,"4 medium sweet potatoes (shakkerkand), scrubbed clean and cut into cubes 1/ | 4 cup green peas (matar) | 4 tablespoons sunflower oil | 1 teaspoon cumin seeds | 1 tablespoon ginger, finely chopped 2- | 3 green chillies, finely chopped | 1 1/ | 2 tablespoons coriander powder | 1 teaspoon cumin powder | 1 teaspoon red chilli powder 1/ | 2 teaspoon turmeric powder | 2 teaspoons dried mango powder (amchur) | 2 Fresh coriander sprigs + to garnish Fresh red chilli to garnish","1. Heat sunflower oil in a non-stick pan, add cumin seeds, ginger and green chillies, stir and sauté till fragrant. | 2. Add sweet potatoes, toss and cook for 2-3 minutes. | 3. Add coriander powder, cumin powder, red chilli powder, turmeric powder, dried mango powder, garam masala powder and salt, mix well and cook for 2-3 minutes. | 4. Add green peas and mix. | 5. Add water as required, cover and cook for 6-8 minutes. | 6. Finely chop coriander leaves, add to the pan and mix. | 7. Transfer into a serving bowl, garnish with coriander sprigs and red chilli and serve hot.",Egg-free.,vegetarian-recipes.txt
Sheer Payara,Simple fudge made with milk powder and some dried fruits,Indian  Course:,Desserts,1-1.30 hour,6-10 minutes,4,Sweet,Easy,vegetarian; egg-free; lacto-vegetarian,"1 cup Sugar | 1 1/ | 2 cups Milk powder to grease Butter | 1 tablespoon Rose water | 1 teaspoon Green cardamom powder 1/ | 4 cup Walnuts and almonds, chopped to garnish Pistachios, chopped | 1 tablespoon Sultanas, chopped","1. Grease a burfi tray with ghee, line with butter paper. | 2. Heat a deep-pan, add sugar and water and bring the mixture to a boil. | 3. Simmer, stirring continuously, till the syrup reaches one string consistency. | 4. Remove the pan from heat and add rose water, green cardamom powder, walnuts, almonds and milk powder and mix well. | 5. Pour the mixture into the greased tray and spread evenly. | 6. Sprinkle pistachios and sultanas and set aside to cool for about an hour. | 7. When the fudge cools, cut into pieces of your preferred shape, remove from tray and serve.",Egg-free.,vegetarian-recipes.txt
Shegaon Kachori,"A popular street food, these kachoris were first made in Shegaon and therefore the name. Eat one and you will want more and more",Maharashtrian  Course:,Snacks and Starters,41-50 minutes,31-40 minutes,4,Spicy,Moderate,vegan; vegetarian; egg-free,1½ cups refined flour (maida) Salt to taste | 3 tablespoons oil + for greasing + for deep frying Fried green chillies to serve Masala stuffing 1½ tablespoons fennel seeds (saunf) | 1 tablespoon coriander seeds | 1 teaspoon cumin seeds | 1 cup gram flour (besan) | 2 tablespoons oil 1½ ginger-green chilli paste,"1. Take refined flour in a large bowl. | 2. Add salt and oil and mix till the mixture resembles bread crumb consistency. | 3. Add ½ cup water and knead to a stiff dough. | 4. Cover with a damp muslin cloth and set aside for 10-15 minutes. | 5. To make the masala stuffing, dry roast fennel seeds, coriander seeds and cumin seeds till fragrant. | 6. Transfer into a mortar and coarsely crush it with a pestle. | 7. Heat oil in a non-stick pan. | 8. Add ginger-green chilli paste and mix well. | 9. Sauté for 1-2 minutes. | 10. Add red chilli powder, garam masala powder, turmeric powder and salt and sauté for a few seconds. | 11. Add gram flour and roast on low heat for 4-5 minutes. | 12. Add the crushed mixture and mix well. | 13. Set aside to cool completely. | 14. Heat sufficient oil in a kadai. | 15. To make the kachoris, grease the worktop with some oil. | 16. Take a medium sized portion of the dough and shape it into a ball. | 17. Place it on the greased worktop and roll it into a small disc. | 18. Add a portion of the masala stuffing and bring the edges to the centre and press to seal. | 19. Gently press and lightly roll into a small disc. | 20. Gently slide in the kachoris a few at a time and deep fry on medium heat till they turn golden, crisp and lightly puffed. | 21. Serve with fried green chillies.",Egg-free.,vegetarian-recipes.txt
Sitaphal Basundi,Sitaphal adds its unique flavour and texture to this basundi,Indian  Course:,Mithais,51-60 minutes,31-40 minutes,4,Sweet,Easy,vegetarian; egg-free; lacto-vegetarian,"2 medium Custard apples (sitaphal) | 1 litres Milk 3/ | 4 cup Condensed milk | 2 tablespoons Cashewnuts, chopped | 2 tablespoons Almonds, chopped 1/ | 2 teaspoon Green cardamom powder a few strands Saffron water, soaked in water to brush Honey 1/ | 2 cup Pistachios, crushed","1. Boil milk in a deep non-stick pan, stirring frequently, till it is reduced to half. | 2. Keep scraping the sides of the pan and mixing with milk. | 3. Meanwhile break open the custard apples and scoop the seeds and mash through a strainer, to separate the flesh from the seeds, into a bowl. | 4. Some pieces may not get separated from the seeds so collect these pieces in another bowl and remove their seeds. | 5. Add condensed milk, cashewnuts, almonds and green cardamom powder to the reduced milk and mix well. | 6. Cook on low heat for 5-6 minutes or till it thickens a little more. | 7. Scrape the sides occasionally. | 8. Put a ladle of the milk mixture into a bowl, add saffron along with water and mix well. | 9. Refrigerate for 40-50 minutes. | 10. Add the remaining milk mixture to the custard apple pulp. | 11. Add 2 tbsps of chunky pieces. | 12. Mix well. | 13. Refrigerate it for 40-50 minutes. | 14. Brush the rims of serving glasses with honey. | 15. Take crushed pistachios in a plate and roll the rims of the and roll over it. | 16. Fill each serving glass till ¾ with plain sitafal basundi and add 2 spoons of saffron basundi on top. | 17. Serve chilled.",Egg-free.,vegetarian-recipes.txt
Sofiyani Sherbat,"Sofiyani Sherbat is best enjoyed cold, making it a perfect beverage to serve during festive gatherings or as a refreshing drink on a warm day.",Indian  Course:,Beverages,5-10 minutes,0-5 minutes,4,Sweet & Sour,Easy,vegan; vegetarian; egg-free,2 tbsps fennel seeds (saunf) | 4 tsps cumin seeds | 4 tbsps coriander seeds | 2 cups sugar Ice cubes as required | 6 ½ tsps black salt | 6 ½ lemons juice Mint sprigs for garnish,"1. Heat a non-stick deep pan, add saunf, cumin seeds and coriander seeds. | 2. Dry roast on low heat for 2-3 minutes till saunf is fragrant. | 3. Transfer roasted mixture in a blender. | 4. Add sugar and blend to a fine powder. | 5. Transfer the blended mixture in a bowl. | 6. Add 1 cup water, ice cubes as required, black salt and lemon juice. | 7. Mix well. | 8. Remove some ice cubes and add in a serving glass. | 9. Strain the sherbet in another bowl and add ice cubes. | 10. Transfer mixture in the serving glass and garnish with mint sprigs. | 11. Serve cold.",Egg-free.,vegetarian-recipes.txt
Soya Aloo Tahiri Pulao,This is recipe is so simple yet so very tasty and nutritious too,Indian  Course:,Rice,26-30 minutes,26-30 minutes,4,Mild,Easy,vegan; vegetarian; egg-free,"2 cup Soya chunks, soaked and boiled | 1 large Potato (aloo), peeled | 1 1/ | 2 cups Rice, soaked for | 0 minutes and drained | 2 tablespoons Oil 10- | 2 Black peppercorns | 1 Bay leaf | 2 medium Tomatoes to garnish Fresh coriander sprig","1. Heat oil in a non-stick pan, add peppercorns and bay leaf and sauté till fragrant. | 2. Cut potatoes into cubes, add and sauté till they turn brown. | 3. Roughly chop tomatoes. | 4. Add rice to the pan, mix and cook for 4-5 minutes. | 5. Add soya chunks and 3 cups water and stir. | 6. Add tomatoes and mix. | 7. Cover and cook for 10-15 minutes or till the rice is fully done, stirring occasionally. | 8. Transfer into a serving bowl, garnish with coriander sprig and serve hot.",Egg-free.,vegetarian-recipes.txt
Soya Keema Sheperd's Pie,"Soya granules contain immunity building nutrients, protein, iron and zinc besides being rich in dietary fiber. They are an excellent substitute for mutton keema",Fusion  Course:,Snacks and Starters,31-40 minutes,16-20 minutes,4,Spicy,Moderate,vegetarian; egg-free; lacto-vegetarian,"½ cup soya granules (keema), soaked and drained | 1 medium tomato, chopped 4- | 1 inch ginger, chopped ½ cup chopped fresh coriander leaves | 2 green chillies | 2 tablespoons oil | 1 pinch hing (asafoetida) | 1 teaspoon fennel seeds | 1 inch cinnamon stick | 1 bay leaf 3- | 4 black peppercorns 3- | 4 cloves ½ teaspoon turmeric powder | 2 teaspoons red chilli powder | 2 large potatoes, boiled | 2 tablespoons butter | 2 tablespoons fresh cream ½ teaspoon chaat masala | 4 tablespoons fresh breadcrumbs","1. Put tomato, ginger, fresh coriander, green chillies and ¼ cup water and blend into a coarse paste. | 2. Heat oil in a non-stick pan, add fennel seeds, cinnamon, bay leaf, black peppercorn and cloves and sauté until fragrant, then add a pinch of hing. | 3. Add half the prepared paste and sauté well. | 4. Add soya granules and mix well. | 5. Add ½ cup of water and combine to mix, add ¼ teaspoon turmeric powder, red chilli powder, garam masala powder and mix well. | 6. Add green peas, salt and mix well, cook for 2 minutes and remove the pan from heat. | 7. Preheat the oven to 200º C. | 8. Cut the potatoes into small pieces, transfer into a bowl and mash with a masher. | 9. Add butter, fresh cream and mix well, add remaining turmeric powder, chaat masala, salt and mix well. | 10. Transfer this mixture into a piping bag fitted with star nozzle. | 11. Take a bake proof glass tiffin, add the soya mixture, pipe out the mashed potatoes on top. | 12. Spread breadcrumbs on top, keep the tiffin in the oven and bake for 5 minutes. | 13. Remove it from the oven, let it cool and cover with the lid.",Removed onion/garlic (and related alliums). Added hing (asafoetida). Egg-free.,vegetarian-recipes.txt
Soyabean Granules Sabzi,Protein-rich soya granules cooked in a simple tomato-onion semi-dry version. Tastes great even with chapatis or stuff between bread slices for a variation of sandwich.,Indian  Course:,Main,,15-20 minutes,4,Mild,,vegetarian; egg-free; lacto-vegetarian,"0 grams soyabean granules | 2 cups warm milk | 3 tablespoons oil | 1 pinch hing (asafoetida) | 1 teaspoon cumin seeds | 1 tbsp ginger-green chilli paste | 3 medium tomatoes, chopped","1. Wash soyabean granules with lukewarm water. | 2. Drain and then soak in warm milk for ½ hour. | 3. Heat oil in a non-stick pan, then add a pinch of hing. | 4. Add cumin seeds. | 5. When they start to change colour, add and sauté till golden brown. | 6. Add ginger-green chilli paste and cook for ½ minute. | 7. Add tomatoes and cook for 4-5 minutes. | 8. Add red chilli powder and turmeric powder. | 9. Cook till the oil separates. | 10. Add soyabean granules and mix well. | 11. Cover and cook till soya granules are cooked. | 12. These normally take about 10 minutes. | 13. Add a little water if required. | 14. Add salt and cook till it is almost dry. | 15. Add coriander leaves, mix and cook for a few seconds. | 16. Serve hot garnished with coriander leaves.",Removed onion/garlic (and related alliums). Added hing (asafoetida). Egg-free.,vegetarian-recipes.txt
Spinach Fried Rice,The ever popular fried rice made more nutritious with the addition of spinach,Fusion  Course:,Rice,16-20 minutes,11-15 minutes,4,Mild,Easy,vegan; vegetarian; egg-free,"8 Fresh spinach leaves | 4 tablespoons Spinach puree | 3 cups Basmati rice, cooked | 1 tablespoon Oil | 1 pinch hing (asafoetida) | 1 tablespoon White sesame seeds (safed til) | 2 Green chillies, finely chopped | 1 small Carrot, finely chopped 8- | 0 French beans, finely chopped 1/ | 4 cup Cabbage, shredded | 1 tablespoon Soy sauce","1. Heat oil in a non-stick pan, add and sauté till fragrant, then add a pinch of hing. | 2. Add sesame seeds and green chillies, mix and sauté till the seeds pop. | 3. Transfer the mixture into a bowl and set aside. | 4. In the same pan, add carrot, French beans, cabbage, soy sauce, vinegar and crushed peppercorns, mix well and sauté for 1-2 minutes. | 5. Add salt and mix. | 6. Add basmati rice and toss. | 7. Roughly chop spinach leaves and . | 8. Reserve some for garnishing and add the rest to the pan along with spinach leaves and toss well. | 9. Add spinach puree, mix well and let it get heated through. | 10. Transfer into a serving bowl, garnish with reserved and sautéed -sesame-chilli mixture and serve hot.",Removed onion/garlic (and related alliums). Added hing (asafoetida). Egg-free.,vegetarian-recipes.txt
Strawberry Kalakand,Strawberry syrup takes the popular Kalakand to another level,Indian  Course:,Mithais,21-25 minutes,16-20 minutes,4,Sweet,Moderate,vegetarian; egg-free; lacto-vegetarian,"5 tbsps for drizzling Strawberry syrup 1/ | 2 cup Milk 1/ | 2 cup Cottage cheese (paneer), grated for greasi tablespoons Ghee 1/ | 4 cup + to sprinkle Almonds, chopped 1/ | 4 cup + to sprinkle Walnuts, chopped 1/ | 4 cup +G to sprinkle Pistachios, chopped 1/ | 4 cup + to sprinkle Cashewnuts, chopped | 1 teaspoon Green cardamom powder 1/ | 2 cup Khoya, grated","1. Heat ghee in a non-stick pan, add almonds, walnuts, pistachios and cashewnuts and sauté till lightly browned. | 2. Add milk and cottage cheese and mix well. | 3. Add strawberry syrup, mix well and cook till the mixture thickens. | 4. Add cardamom powder, mix and cook for 2-3 minutes. | 5. Add khoya and mix well. | 6. Grease a barfi tray with some ghee. | 7. Sprinkle some mixed nuts and drizzle some strawberry syrup in it. | 8. Spread the cooked mixture evenly in it and set aside for 3-4 hours or till cooled. | 9. Refrigerate to chill. | 10. Cut into pieces and serve.",Egg-free.,vegetarian-recipes.txt
